Year,Quarter,Opioid_Deaths,Hospitalizations,ED_Visits,EMS_Responses
2017,Q1,921,1211,3551,4341
2017,Q2,1022,1305,4517,4931
2017,Q3,1057,1332,5000,4519
2017,Q4,923,1237,3872,3478
2018,Q1,1009,1103,3987,4091
2018,Q2,984,1334,4766,5680
2018,Q3,1112,1309,4852,5764
2018,Q4,1148,1227,4594,5230
2019,Q1,1010,1124,5084,6002
2019,Q2,1025,1203,5579,6119
2019,Q3,713,1129,3798,5054
2019,Q4,841,995,3747,4264
2020,Q1,984,1058,4599,4626
2020,Q2,1638,1304,5554,7643
2020,Q3,1731,1394,6147,8927
2020,Q4,1813,1416,6330,8296
2021,Q1,1840,1411,6524,7845
2021,Q2,1769,1514,7961,10032
2021,Q3,1880,1651,9423,12401
2021,Q4,2082,1621,8666,10997
2022,Q1,1913,1338,6736,9809
2022,Q2,1704,1370,6282,9556
2022,Q3,1714,1353,5716,8602
2022,Q4,1909,1315,5490,7679
2023,Q1,1971,1517,6596,9242
2023,Q2,2057,1642,7450,11435
2023,Q3,1960,1683,7506,12203
2023,Q4,2031,1583,6918,9876
2024,Q1,2025,1494,6737,9275
2024,Q2,1888,1493,6622,9512
2024,Q3,1828,1411,6261,9717
2024,Q4,1578,1194,4984,7622
