Year,Quarter,Opioid_Deaths,Hospitalizations,ED_Visits,EMS_Responses,SCS_Total_Visits,SCS_Clients_Monthly_Sum,SCS_Nonfatal_Overdoses,SCS_Naloxone_Administrations,SCS_Nonfatal_OD_Rate,SCS_Naloxone_OD_Rate,SCS_Avg_Visits_Per_Site,SCS_Avg_Clients_Per_Site,SCS_Sites_Reporting,OPS_Sites,SCS_Sites,Total_Sites,Naloxone_Kits_Per_100k,SCS_Partial_Quarter
2020,1,984,1058,4599,4626,76180,8462,805,335,17.0,7.0,2059.0,242.0,37.0,32.0,40.0,72.0,664.6949328,1
2020,2,1638,1304,5554,7643,176963,21269,1858,885,14.666666666666666,7.333333333333333,1580.0,194.66666666666663,37.333333333333336,32.666666666666664,39.333333333333336,72.0,649.7658738,0
2020,3,1731,1394,6147,8927,158945,26818,1635,645,14.666666666666666,6.0,1457.6666666666667,248.33333333333331,36.333333333333336,38.0,38.66666666666666,76.66666666666667,845.5527404,0
2020,4,1813,1416,6330,8296,157719,22944,2293,899,18.666666666666668,7.333333333333333,1383.6666666666667,201.33333333333331,38.0,40.66666666666666,39.66666666666666,80.33333333333333,898.5784422,0
2021,1,1840,1411,6524,7845,152257,22811,2809,1175,23.666666666666668,10.0,1371.6666666666667,205.33333333333331,37.0,47.333333333333336,39.0,86.33333333333333,884.0170541,0
2021,2,1769,1514,7961,10032,159096,25101,2973,1228,24.33333333333333,10.0,1433.3333333333333,228.0,37.0,51.0,39.0,90.0,1052.650779,0
2021,3,1880,1651,9423,12401,165305,24292,3367,1385,28.33333333333333,11.333333333333334,1450.0,213.33333333333331,38.0,55.333333333333336,40.0,95.33333333333331,1172.060381,0
2021,4,2082,1621,8666,10997,173341,23981,3790,1653,29.0,12.666666666666666,1481.3333333333333,204.66666666666663,39.0,58.0,41.0,99.0,1100.87613,0
2022,1,1913,1338,6736,9809,163326,22846,2911,1302,22.666666666666668,10.0,1407.6666666666667,197.0,38.66666666666666,63.0,40.66666666666666,103.66666666666669,984.3941184,0
2022,2,1704,1370,6282,9556,159942,22939,1977,869,15.333333333333334,6.666666666666667,1379.6666666666667,199.0,38.66666666666666,62.0,39.333333333333336,101.33333333333331,1199.726175,0
2022,3,1714,1353,5716,8602,141710,19993,1451,505,12.0,4.0,1275.6666666666667,179.66666666666666,37.0,64.0,38.0,102.0,1404.039837,0
2022,4,1909,1315,5490,7679,154598,22512,2105,696,15.666666666666666,5.333333333333333,1332.6666666666667,194.0,38.66666666666666,65.33333333333333,39.0,104.33333333333331,1154.685193,0
2023,1,1971,1517,6596,9242,153304,24576,2583,1057,19.33333333333333,8.0,1347.0,216.0,38.0,65.0,39.0,104.0,1517.306809,0
2023,2,2057,1642,7450,11435,131854,20206,2587,1062,22.0,9.0,1156.3333333333333,177.0,38.0,65.0,39.0,104.0,1788.049387,0
2023,3,1960,1683,7506,12203,134873,22013,2488,1104,22.0,9.666666666666666,1172.0,191.33333333333331,38.333333333333336,66.0,39.0,105.0,1903.508743,0
2023,4,2031,1583,6918,9876,143238,24606,2678,1103,22.33333333333333,9.333333333333334,1328.0,228.0,36.333333333333336,66.33333333333333,39.0,105.33333333333331,1684.957526,0
2024,1,2025,1494,6737,9275,144574,23050,2297,845,19.33333333333333,7.333333333333333,1279.3333333333333,204.0,37.66666666666666,68.33333333333333,39.0,107.33333333333331,1737.82624,0
2024,2,1888,1493,6622,9512,126618,20108,1859,668,19.0,6.666666666666667,1170.3333333333333,186.0,36.0,68.0,38.0,106.0,1736.101486,0
2024,3,1828,1411,6261,9717,153380,22251,2776,861,23.33333333333333,7.0,1322.0,191.66666666666663,38.66666666666666,67.0,39.0,106.0,1663.072223,0
2024,4,1578,1194,4984,7622,145990,21712,1969,645,17.0,5.333333333333333,1248.0,185.66666666666663,39.0,67.0,38.333333333333336,105.33333333333331,1789.225695,0
