Year,Quarter,SCS_Total_Visits,SCS_Clients_Monthly_Sum,SCS_Nonfatal_Overdoses,SCS_Naloxone_Administrations,SCS_Nonfatal_OD_Rate,SCS_Naloxone_OD_Rate,SCS_Avg_Visits_Per_Site,SCS_Avg_Clients_Per_Site,SCS_Sites_Reporting
2020,Q1,76180,8462,805,335,17.0,7.0,2059.0,242.0,37.0
2020,Q2,176963,21269,1858,885,14.666666666666666,7.333333333333333,1580.0,194.66666666666666,37.333333333333336
2020,Q3,158945,26818,1635,645,14.666666666666666,6.0,1457.6666666666667,248.33333333333334,36.333333333333336
2020,Q4,157719,22944,2293,899,18.666666666666668,7.333333333333333,1383.6666666666667,201.33333333333334,38.0
2021,Q1,152257,22811,2809,1175,23.666666666666668,10.0,1371.6666666666667,205.33333333333334,37.0
2021,Q2,159096,25101,2973,1228,24.333333333333332,10.0,1433.3333333333333,228.0,37.0
2021,Q3,165305,24292,3367,1385,28.333333333333332,11.333333333333334,1450.0,213.33333333333334,38.0
2021,Q4,173341,23981,3790,1653,29.0,12.666666666666666,1481.3333333333333,204.66666666666666,39.0
2022,Q1,163326,22846,2911,1302,22.666666666666668,10.0,1407.6666666666667,197.0,38.666666666666664
2022,Q2,159942,22939,1977,869,15.333333333333334,6.666666666666667,1379.6666666666667,199.0,38.666666666666664
2022,Q3,141710,19993,1451,505,12.0,4.0,1275.6666666666667,179.66666666666666,37.0
2022,Q4,154598,22512,2105,696,15.666666666666666,5.333333333333333,1332.6666666666667,194.0,38.666666666666664
2023,Q1,153304,24576,2583,1057,19.333333333333332,8.0,1347.0,216.0,38.0
2023,Q2,131854,20206,2587,1062,22.0,9.0,1156.3333333333333,177.0,38.0
2023,Q3,134873,22013,2488,1104,22.0,9.666666666666666,1172.0,191.33333333333334,38.333333333333336
2023,Q4,143238,24606,2678,1103,22.333333333333332,9.333333333333334,1328.0,228.0,36.333333333333336
2024,Q1,144574,23050,2297,845,19.333333333333332,7.333333333333333,1279.3333333333333,204.0,37.666666666666664
2024,Q2,126618,20108,1859,668,19.0,6.666666666666667,1170.3333333333333,186.0,36.0
2024,Q3,153380,22251,2776,861,23.333333333333332,7.0,1322.0,191.66666666666666,38.666666666666664
2024,Q4,145990,21712,1969,645,17.0,5.333333333333333,1248.0,185.66666666666666,39.0
