Year,Quarter,OPS_Sites,SCS_Sites,Total_Sites
2020,Q1,32.0,40.0,72.0
2020,Q2,32.666666666666664,39.333333333333336,72.0
2020,Q3,38.0,38.666666666666664,76.66666666666667
2020,Q4,40.666666666666664,39.666666666666664,80.33333333333333
2021,Q1,47.333333333333336,39.0,86.33333333333333
2021,Q2,51.0,39.0,90.0
2021,Q3,55.333333333333336,40.0,95.33333333333333
2021,Q4,58.0,41.0,99.0
2022,Q1,63.0,40.666666666666664,103.66666666666667
2022,Q2,62.0,39.333333333333336,101.33333333333333
2022,Q3,64.0,38.0,102.0
2022,Q4,65.33333333333333,39.0,104.33333333333333
2023,Q1,65.0,39.0,104.0
2023,Q2,65.0,39.0,104.0
2023,Q3,66.0,39.0,105.0
2023,Q4,66.33333333333333,39.0,105.33333333333333
2024,Q1,68.33333333333333,39.0,107.33333333333333
2024,Q2,68.0,38.0,106.0
2024,Q3,67.0,39.0,106.0
2024,Q4,67.0,38.333333333333336,105.33333333333333
