Substance,Source,Specific_Measure,Region,PRUID,Time_Period,Year_Quarter,Aggregator,Disaggregator,Unit,Value
Opioids,Deaths,Overall numbers,Canada,1,By year,2016,,,Crude rate,7.8
Opioids,Deaths,Overall numbers,Canada,1,By year,2017,,,Crude rate,10.7
Opioids,Deaths,Overall numbers,Canada,1,By year,2018,,,Crude rate,11.5
Opioids,Deaths,Overall numbers,Canada,1,By year,2019,,,Crude rate,9.6
Opioids,Deaths,Overall numbers,Canada,1,By year,2020,,,Crude rate,16.3
Opioids,Deaths,Overall numbers,Canada,1,By year,2021,,,Crude rate,19.8
Opioids,Deaths,Overall numbers,Canada,1,By year,2022,,,Crude rate,18.6
Opioids,Deaths,Overall numbers,Canada,1,By year,2023,,,Crude rate,20.1
Opioids,Deaths,Overall numbers,Canada,1,By year,2024,,,Crude rate,17.8
Opioids,Deaths,Overall numbers,Canada,1,By year,2025,,,Crude rate,13.5
Opioids,Deaths,Overall numbers,Canada,1,By year,2016,,,Number,2832
Opioids,Deaths,Overall numbers,Canada,1,By year,2017,,,Number,3928
Opioids,Deaths,Overall numbers,Canada,1,By year,2018,,,Number,4261
Opioids,Deaths,Overall numbers,Canada,1,By year,2019,,,Number,3598
Opioids,Deaths,Overall numbers,Canada,1,By year,2020,,,Number,6183
Opioids,Deaths,Overall numbers,Canada,1,By year,2021,,,Number,7577
Opioids,Deaths,Overall numbers,Canada,1,By year,2022,,,Number,7256
Opioids,Deaths,Overall numbers,Canada,1,By year,2023,,,Number,8040
Opioids,Deaths,Overall numbers,Canada,1,By year,2024,,,Number,7326
Opioids,Deaths,Overall numbers,Canada,1,By year,2025,,,Number,5630
Opioids,Deaths,Overall numbers,Canada,1,By quarter,2016 Q1,,,Number,669
Opioids,Deaths,Overall numbers,Canada,1,By quarter,2016 Q2,,,Number,636
Opioids,Deaths,Overall numbers,Canada,1,By quarter,2016 Q3,,,Number,654
Opioids,Deaths,Overall numbers,Canada,1,By quarter,2016 Q4,,,Number,863
Opioids,Deaths,Overall numbers,Canada,1,By quarter,2017 Q1,,,Number,921
Opioids,Deaths,Overall numbers,Canada,1,By quarter,2017 Q2,,,Number,1022
Opioids,Deaths,Overall numbers,Canada,1,By quarter,2017 Q3,,,Number,1057
