Year,Quarter,Category,Value
2016,1,"Kits distributed per 100,000 population",28.72379354
2016,1,Opioid-related deaths,545
2016,2,"Kits distributed per 100,000 population",54.70248296
2016,2,Opioid-related deaths,535
2016,3,"Kits distributed per 100,000 population",67.72702783
2016,3,Opioid-related deaths,524
2016,4,"Kits distributed per 100,000 population",148.9424593
2016,4,Opioid-related deaths,760
2017,1,"Kits distributed per 100,000 population",225.9761509
2017,1,Opioid-related deaths,788
2017,2,"Kits distributed per 100,000 population",253.8810882
2017,2,Opioid-related deaths,892
2017,3,"Kits distributed per 100,000 population",301.6748801
2017,3,Opioid-related deaths,934
2017,4,"Kits distributed per 100,000 population",334.4156057
2017,4,Opioid-related deaths,802
2018,1,"Kits distributed per 100,000 population",452.626629
2018,1,Opioid-related deaths,899
2018,2,"Kits distributed per 100,000 population",538.1639954
2018,2,Opioid-related deaths,882
2018,3,"Kits distributed per 100,000 population",551.5111291
2018,3,Opioid-related deaths,1003
2018,4,"Kits distributed per 100,000 population",553.2280535
2018,4,Opioid-related deaths,1032
2019,1,"Kits distributed per 100,000 population",522.5004186
2019,1,Opioid-related deaths,942
2019,2,"Kits distributed per 100,000 population",757.0116301
2019,2,Opioid-related deaths,944
2019,3,"Kits distributed per 100,000 population",757.5719116
2019,3,Opioid-related deaths,648
2019,4,"Kits distributed per 100,000 population",683.9916171
2019,4,Opioid-related deaths,762
2020,1,"Kits distributed per 100,000 population",664.6949328
2020,1,Opioid-related deaths,953
2020,2,"Kits distributed per 100,000 population",649.7658738
2020,2,Opioid-related deaths,1508
2020,3,"Kits distributed per 100,000 population",845.5527404
2020,3,Opioid-related deaths,1601
2020,4,"Kits distributed per 100,000 population",898.5784422
2020,4,Opioid-related deaths,1680
2021,1,"Kits distributed per 100,000 population",884.0170541
2021,1,Opioid-related deaths,1735
2021,2,"Kits distributed per 100,000 population",1052.650779
2021,2,Opioid-related deaths,1739
2021,3,"Kits distributed per 100,000 population",1172.060381
2021,3,Opioid-related deaths,1777
2021,4,"Kits distributed per 100,000 population",1100.87613
2021,4,Opioid-related deaths,1963
2022,1,"Kits distributed per 100,000 population",984.3941184
2022,1,Opioid-related deaths,1793
2022,2,"Kits distributed per 100,000 population",1199.726175
2022,2,Opioid-related deaths,1569
2022,3,"Kits distributed per 100,000 population",1404.039837
2022,3,Opioid-related deaths,1594
2022,4,"Kits distributed per 100,000 population",1154.685193
2022,4,Opioid-related deaths,1799
2023,1,"Kits distributed per 100,000 population",1517.306809
2023,1,Opioid-related deaths,1847
2023,2,"Kits distributed per 100,000 population",1788.049387
2023,2,Opioid-related deaths,1945
2023,3,"Kits distributed per 100,000 population",1903.508743
2023,3,Opioid-related deaths,1836
2023,4,"Kits distributed per 100,000 population",1684.957526
2023,4,Opioid-related deaths,1878
2024,1,"Kits distributed per 100,000 population",1737.82624
2024,1,Opioid-related deaths,1705
2024,2,"Kits distributed per 100,000 population",1736.101486
2024,2,Opioid-related deaths,1606
2024,3,"Kits distributed per 100,000 population",1663.072223
2024,3,Opioid-related deaths,1504
2024,4,"Kits distributed per 100,000 population",1789.225695
2024,4,Opioid-related deaths,1264
