province,date,trend_total_visits,trend_nr_clients,trend_nr_od_nf,trend_nr_od_naloxone,trend_rate_od_nf,trend_rate_od_naloxone,trend_avg_visits_per_site,trend_avg_clients_per_site,nr_sites_reporting
TOTAL,2020-03-01,76180,8462,805,335,17,7,2059,242,37
TOTAL,2020-04-01,59776,6385,687,295,16,7,1616,182,37
TOTAL,2020-05-01,59863,7246,670,325,16,8,1575,196,38
TOTAL,2020-06-01,57324,7638,501,265,12,7,1549,206,37
TOTAL,2020-07-01,52189,8821,348,136,9,4,1450,245,36
TOTAL,2020-08-01,57814,9033,671,290,16,7,1563,244,37
TOTAL,2020-09-01,48942,8964,616,219,19,7,1360,256,36
TOTAL,2020-10-01,53565,8091,845,329,20,8,1410,213,38
TOTAL,2020-11-01,52783,7583,694,249,17,6,1389,200,38
TOTAL,2020-12-01,51371,7270,754,321,19,8,1352,191,38
TOTAL,2021-01-01,51762,7577,911,363,22,9,1399,205,37
TOTAL,2021-02-01,46522,7344,899,392,25,11,1257,198,37
TOTAL,2021-03-01,53973,7890,999,420,24,10,1459,213,37
TOTAL,2021-04-01,52756,9986,920,401,23,10,1426,270,37
TOTAL,2021-05-01,53511,7595,1014,392,24,9,1446,211,37
TOTAL,2021-06-01,52829,7520,1039,435,26,11,1428,203,37
TOTAL,2021-07-01,53487,7929,1185,506,29,12,1408,209,38
TOTAL,2021-08-01,55825,8494,1146,458,29,11,1469,224,38
TOTAL,2021-09-01,55993,7869,1036,421,27,11,1473,207,38
TOTAL,2021-10-01,57679,8011,1162,505,27,12,1479,205,39
TOTAL,2021-11-01,58164,8326,1365,576,31,13,1491,213,39
TOTAL,2021-12-01,57498,7644,1263,572,29,13,1474,196,39
TOTAL,2022-01-01,50947,7165,1025,472,24,11,1341,189,38
TOTAL,2022-02-01,53230,7567,927,403,23,10,1365,194,39
TOTAL,2022-03-01,59149,8114,959,427,21,9,1517,208,39
TOTAL,2022-04-01,50456,7856,624,268,15,6,1294,201,39
TOTAL,2022-05-01,55361,7195,691,335,16,8,1457,194,38
TOTAL,2022-06-01,54125,7888,662,266,15,6,1388,202,39
TOTAL,2022-07-01,44918,6263,594,208,15,5,1248,174,36
TOTAL,2022-08-01,45130,6354,378,123,10,3,1254,176,36
TOTAL,2022-09-01,51662,7376,479,174,11,4,1325,189,39
TOTAL,2022-10-01,50283,7340,595,174,14,4,1289,188,39
TOTAL,2022-11-01,53161,7104,688,223,15,5,1363,182,39
TOTAL,2022-12-01,51154,8068,822,299,18,7,1346,212,38
TOTAL,2023-01-01,54665,9004,846,362,18,8,1477,243,37
TOTAL,2023-02-01,46741,7555,784,331,19,8,1198,194,39
TOTAL,2023-03-01,51898,8017,953,364,21,8,1366,211,38
TOTAL,2023-04-01,45423,6770,882,358,22,9,1195,178,38
TOTAL,2023-05-01,44891,6738,898,345,22,8,1181,177,38
TOTAL,2023-06-01,41540,6698,807,359,22,10,1093,176,38
TOTAL,2023-07-01,46258,7302,937,410,23,10,1186,187,39
TOTAL,2023-08-01,47069,7708,799,398,21,10,1207,198,39
TOTAL,2023-09-01,41546,7003,752,296,22,9,1123,189,37
TOTAL,2023-10-01,48068,8460,843,326,21,8,1265,223,38
TOTAL,2023-11-01,46063,7718,822,295,21,8,1355,227,35
TOTAL,2023-12-01,49107,8428,1013,482,25,12,1364,234,36
TOTAL,2024-01-01,50805,7988,819,299,19,7,1303,205,39
TOTAL,2024-02-01,45613,7413,689,252,19,7,1233,200,37
TOTAL,2024-03-01,48156,7649,789,294,20,8,1302,207,37
TOTAL,2024-04-01,47269,7520,653,237,17,6,1244,198,38
TOTAL,2024-05-01,40218,6284,654,253,21,8,1149,180,35
TOTAL,2024-06-01,39131,6304,552,178,19,6,1118,180,35
TOTAL,2024-07-01,47557,7260,728,222,21,6,1252,191,38
TOTAL,2024-08-01,46430,7290,634,182,19,5,1191,187,39
TOTAL,2024-09-01,59393,7701,1414,457,30,10,1523,197,39
TOTAL,2024-10-01,45517,7017,531,157,15,4,1167,180,39
TOTAL,2024-11-01,46824,7167,648,219,18,6,1201,184,39
TOTAL,2024-12-01,53649,7528,790,269,18,6,1376,193,39
TOTAL,2025-01-01,47376,7201,543,155,15,4,1184,180,40
TOTAL,2025-02-01,42856,6880,406,126,12,4,1071,172,40
TOTAL,2025-03-01,45042,6839,447,120,13,3,1287,195,35
TOTAL,2025-04-01,40766,5875,321,101,10,3,1456,210,28
TOTAL,2025-05-01,41058,5836,372,148,11,5,1416,201,29
TOTAL,2025-06-01,39771,5997,365,113,12,4,1326,200,30
TOTAL,2025-07-01,41024,6004,418,173,13,5,1323,194,31
TOTAL,2025-08-01,37543,5933,424,137,15,5,1211,191,31
TOTAL,2025-09-01,36957,5772,447,166,16,6,1155,180,32
TOTAL,2025-10-01,42483,6204,443,153,13,5,1370,200,31
TOTAL,2025-11-01,40906,6282,461,188,14,6,1320,203,31
TOTAL,2025-12-01,41621,6288,433,162,13,5,1343,203,31
TOTAL,2026-01-01,38661,6214,439,200,14,7,1487,239,27
TOTAL,2026-02-01,33435,5425,353,153,13,6,1337,217,25
