Year,Month,Category,Number of sites
2020,Mar,Total sites,72
2020,Mar,SCS sites,40
2020,Mar,OPS sites,32
2020,Apr,Total sites,71
2020,Apr,SCS sites,40
2020,Apr,OPS sites,31
2020,May,Total sites,71
2020,May,SCS sites,39
2020,May,OPS sites,32
2020,Jun,Total sites,74
2020,Jun,SCS sites,39
2020,Jun,OPS sites,35
2020,Jul,Total sites,76
2020,Jul,SCS sites,39
2020,Jul,OPS sites,37
2020,Aug,Total sites,77
2020,Aug,SCS sites,39
2020,Aug,OPS sites,38
2020,Sep,Total sites,77
2020,Sep,SCS sites,38
2020,Sep,OPS sites,39
2020,Oct,Total sites,80
2020,Oct,SCS sites,40
2020,Oct,OPS sites,40
2020,Nov,Total sites,81
2020,Nov,SCS sites,40
2020,Nov,OPS sites,41
2020,Dec,Total sites,80
2020,Dec,SCS sites,39
2020,Dec,OPS sites,41
2021,Jan,Total sites,85
2021,Jan,SCS sites,39
2021,Jan,OPS sites,46
2021,Feb,Total sites,86
2021,Feb,SCS sites,39
2021,Feb,OPS sites,47
2021,Mar,Total sites,88
2021,Mar,SCS sites,39
2021,Mar,OPS sites,49
2021,Apr,Total sites,88
2021,Apr,SCS sites,39
2021,Apr,OPS sites,49
2021,May,Total sites,91
2021,May,SCS sites,39
2021,May,OPS sites,52
2021,Jun,Total sites,91
2021,Jun,SCS sites,39
2021,Jun,OPS sites,52
2021,Jul,Total sites,94
2021,Jul,SCS sites,40
2021,Jul,OPS sites,54
2021,Aug,Total sites,95
2021,Aug,SCS sites,40
2021,Aug,OPS sites,55
2021,Sep,Total sites,97
2021,Sep,SCS sites,40
2021,Sep,OPS sites,57
2021,Oct,Total sites,99
2021,Oct,SCS sites,41
2021,Oct,OPS sites,58
2021,Nov,Total sites,99
2021,Nov,SCS sites,41
2021,Nov,OPS sites,58
2021,Dec,Total sites,99
2021,Dec,SCS sites,41
2021,Dec,OPS sites,58
2022,Jan,Total sites,104
2022,Jan,SCS sites,41
2022,Jan,OPS sites,63
2022,Feb,Total sites,104
2022,Feb,SCS sites,41
2022,Feb,OPS sites,63
2022,Mar,Total sites,103
2022,Mar,SCS sites,40
2022,Mar,OPS sites,63
2022,Apr,Total sites,103
2022,Apr,SCS sites,41
2022,Apr,OPS sites,62
2022,May,Total sites,101
2022,May,SCS sites,39
2022,May,OPS sites,62
2022,Jun,Total sites,100
2022,Jun,SCS sites,38
2022,Jun,OPS sites,62
2022,Jul,Total sites,102
2022,Jul,SCS sites,38
2022,Jul,OPS sites,64
2022,Aug,Total sites,102
2022,Aug,SCS sites,38
2022,Aug,OPS sites,64
2022,Sep,Total sites,102
2022,Sep,SCS sites,38
2022,Sep,OPS sites,64
2022,Oct,Total sites,104
2022,Oct,SCS sites,39
2022,Oct,OPS sites,65
2022,Nov,Total sites,104
2022,Nov,SCS sites,39
2022,Nov,OPS sites,65
2022,Dec,Total sites,105
2022,Dec,SCS sites,39
2022,Dec,OPS sites,66
2023,Jan,Total sites,104
2023,Jan,SCS sites,39
2023,Jan,OPS sites,65
2023,Feb,Total sites,104
2023,Feb,SCS sites,39
2023,Feb,OPS sites,65
2023,Mar,Total sites,104
2023,Mar,SCS sites,39
2023,Mar,OPS sites,65
2023,Apr,Total sites,104
2023,Apr,SCS sites,39
2023,Apr,OPS sites,65
2023,May,Total sites,104
2023,May,SCS sites,39
2023,May,OPS sites,65
2023,Jun,Total sites,104
2023,Jun,SCS sites,39
2023,Jun,OPS sites,65
2023,Jul,Total sites,104
2023,Jul,SCS sites,39
2023,Jul,OPS sites,65
2023,Aug,Total sites,106
2023,Aug,SCS sites,39
2023,Aug,OPS sites,67
2023,Sep,Total sites,105
2023,Sep,SCS sites,39
2023,Sep,OPS sites,66
2023,Oct,Total sites,105
2023,Oct,SCS sites,39
2023,Oct,OPS sites,66
2023,Nov,Total sites,105
2023,Nov,SCS sites,39
2023,Nov,OPS sites,66
2023,Dec,Total sites,106
2023,Dec,SCS sites,39
2023,Dec,OPS sites,67
2024,Jan,Total sites,107
2024,Jan,SCS sites,39
2024,Jan,OPS sites,68
2024,Feb,Total sites,108
2024,Feb,SCS sites,39
2024,Feb,OPS sites,69
2024,Mar,Total sites,107
2024,Mar,SCS sites,39
2024,Mar,OPS sites,68
2024,Apr,Total sites,106
2024,Apr,SCS sites,38
2024,Apr,OPS sites,68
2024,May,Total sites,106
2024,May,SCS sites,38
2024,May,OPS sites,68
2024,Jun,Total sites,106
2024,Jun,SCS sites,38
2024,Jun,OPS sites,68
2024,Jul,Total sites,106
2024,Jul,SCS sites,39
2024,Jul,OPS sites,67
2024,Aug,Total sites,106
2024,Aug,SCS sites,39
2024,Aug,OPS sites,67
2024,Sep,Total sites,106
2024,Sep,SCS sites,39
2024,Sep,OPS sites,67
2024,Oct,Total sites,106
2024,Oct,SCS sites,39
2024,Oct,OPS sites,67
2024,Nov,Total sites,105
2024,Nov,SCS sites,38
2024,Nov,OPS sites,67
2024,Dec,Total sites,105
2024,Dec,SCS sites,38
2024,Dec,OPS sites,67
